FragmentLength,Start,End
100,119531092,119531192
100,119531099,119531199
100,119531108,119531208
100,119531117,119531217
100,119531123,119531223
100,119531125,119531225
100,119531138,119531238
100,119531143,119531243
100,119531149,119531249
100,119531156,119531256
100,119531158,119531258
100,119531160,119531260
100,119531164,119531264
100,119531164,119531264
100,119531173,119531273
100,119531174,119531274
100,119531176,119531276
100,119531185,119531285
100,119531186,119531286
100,119531195,119531295
100,119531196,119531296
100,119531196,119531296
100,119531201,119531301
100,119531217,119531317
100,119531227,119531327
100,119531239,119531339
100,119531246,119531346
100,119531259,119531359
100,119531260,119531360
100,119531262,119531362
100,119531311,119531411
100,119531318,119531418
100,119531321,119531421
100,119531323,119531423
100,119531334,119531434
100,119531338,119531438
100,119531345,119531445
100,119531350,119531450
100,119531356,119531456
100,119531373,119531473
100,119531375,119531475
100,119531376,119531476
100,119531377,119531477
100,119531385,119531485
100,119531386,119531486
100,119531390,119531490
100,119531393,119531493
100,119531396,119531496
100,119531398,119531498
100,119531419,119531519
100,119531428,119531528
100,119531460,119531560
100,119531477,119531577
100,119531484,119531584
100,119531502,119531602
100,119531504,119531604
100,119531530,119531630
100,119531540,119531640
100,119531555,119531655
100,119531561,119531661
100,119531574,119531674
100,119531575,119531675
100,119531578,119531678
100,119531609,119531709
100,119531610,119531710
100,119531632,119531732
100,119531651,119531751
100,119531673,119531773
100,119531686,119531786
100,119531695,119531795
100,119531697,119531797
100,119531701,119531801
100,119531703,119531803
100,119531711,119531811
100,119531725,119531825
100,119531738,119531838
100,119531752,119531852
100,119531754,119531854
100,119531757,119531857
100,119531768,119531868
100,119531778,119531878
100,119531779,119531879
100,119531835,119531935
100,119531842,119531942
100,119531874,119531974
100,119531887,119531987
100,119531906,119532006
100,119531914,119532014
100,119531914,119532014
100,119531937,119532037
